Category,Name,Use (English),Use (Telugu),Use (Hindi),Use (Kannada),Use (Malayalam),Use (Punjabi),Use (Gujarati),Use (Odia),Use (Bengali),Use (Assamese)
Category,Name,Use (English)
Crop,rice,🌾 Rice needs high rainfall and clayey soil. It's best grown in the Kharif season using NPK fertilizer.
Crop,what season is best for rice?,🌦️ Rice grows best during the Kharif season (June to November).
Crop,what soil does rice need?,🧱 Rice prefers clayey soil that retains water well.
Crop,which fertilizer for rice?,🌿 Use NPK mix or Urea for healthy rice growth.

Crop,maize,🌽 Maize needs warm weather and loamy soil. It's mainly grown in the summer using DAP fertilizer.
Crop,what season is best for maize?,☀️ Maize grows well during summer with moderate rainfall.
Crop,what soil does maize need?,🌱 Maize grows best in well-drained loamy soil.
Crop,which fertilizer for maize?,🌿 DAP or Nitrogen-based fertilizers work well for maize.

Crop,jute,🧵 Jute is a fiber crop that requires warm humid climate and alluvial soil.
Crop,what season is best for jute?,🌦️ Jute is sown in early summer (March to May) and needs lots of rainfall.
Crop,what soil does jute need?,🌍 Jute grows well in well-drained alluvial soil.
Crop,which fertilizer for jute?,🧪 Use Nitrogen and Phosphorus-based fertilizers for good jute fiber quality.

Crop,cotton,👕 Cotton needs black soil and hot, dry weather. It grows well in Kharif season.
Crop,what season is best for cotton?,☀️ Cotton is best grown in Kharif season with warm days and cool nights.
Crop,what soil does cotton need?,🧱 Cotton prefers black soil rich in minerals.
Crop,which fertilizer for cotton?,🌿 Cotton needs a mix of NPK and organic compost.

Crop,coconut,🥥 Coconut trees grow well in coastal sandy soil and humid tropical climate.
Crop,what season is best for coconut?,🌴 Coconut trees can grow all year but prefer tropical climates.
Crop,what soil does coconut need?,🏖️ Sandy or loamy soil with good drainage suits coconut.
Crop,which fertilizer for coconut?,🌿 Use potassium-rich fertilizers like MOP and organic compost.

Greeting,hello.,👋 Hello! I'm AgriAssist — your farming buddy.,👋 హలో. నేనే మీ అగ్రి అసిస్టెంట్ – మీ వ్యవసాయ సహాయకుడు.,👋 नमस्ते। मैं हूँ AgriAssist — आपका खेती में साथी।,👋 ನಮಸ್ಕಾರ. ನಾನು AgriAssist — ನಿಮ್ಮ ಕೃಷಿ ಸಹಾಯಕರಾಗಿದ್ದೇನೆ.,👋 നമസ്കാരം! ഞാനാണ് AgriAssist — നിങ്ങളുടെ കൃഷി കൂട്ടുകാരൻ.,👋 ਸਤ ਸ੍ਰੀ ਅਕਾਲ! ਮੈਂ ਹਾਂ AgriAssist — ਤੁਹਾਡਾ ਖੇਤੀ ਸਾਥੀ।,👋 નમસ્તે! હું છું AgriAssist — તમારો ખેતી સહાયક.,👋 ନମସ୍କାର! ମୁଁ AgriAssist — ତୁମର କୃଷି ସହାୟକ।,👋 নমস্কার! আমি AgriAssist — তোমার কৃষি সহচর।,👋 নমস্কাৰ! মই AgriAssist — তোমাৰ খেতি সহায়।
Greeting,hi.,Hi there! 🌱 How’s farming going today?,హాయ్ 🌱 ఈ రోజు వ్యవసాయం ఎలా సాగుతోంది?,हाय 🌱 आज खेती कैसी चल रही है?,ಹಾಯ್ 🌱 ಇವತ್ತಿನ ಕೃಷಿ ಹೇಗಿದೆ?,ഹായ് 🌱 ഇന്ന് കൃഷി എങ്ങനെ പോവുകയാണ്?,ਹਾਇ 🌱 ਅੱਜ ਖੇਤੀ ਕਿਵੇਂ ਚੱਲ ਰਹੀ ਹੈ?,હાય 🌱 આજે ખેતી કેવી છે?,ହାଏ 🌱 ଆଜି କୃଷି କେମିତି ଚାଲିଛି?,হাই 🌱 আজ কৃষিকাজ কেমন চলছে?,হাই 🌱 আজ খেতি কেনে চলি আছে?
Greeting,hey.,Hey! 👋 Ready to talk about farming?,హే! 👋 వ్యవసాయం గురించి మాట్లాడదామా?,अरे! 👋 खेती की बात करें?,ಹೇಯ್! 👋 ಕೃಷಿಯ ಬಗ್ಗೆ ಮಾತಾಡೋಣವಾ?,ഹേയ്! 👋 കൃഷിയെക്കുറിച്ച് സംസാരിക്കാമോ?,ਹੇ! 👋 ਖੇਤੀ ਬਾਰੇ ਗੱਲ ਕਰੀਏ?,હે! 👋 ખેતી વિષે વાત કરીએ?,ହେୟ୍! 👋 କୃଷି ବିଷୟରେ କଥା ହେବ?,হে! 👋 কৃষি নিয়ে কথা বলবো?,হে! 👋 খেতি সম্পৰ্কে কথা পাতিম নেকি?
Greeting,wassup.,"Just chilling in the fields 🌾, what about you?","వద్దురా పొలాల్లో కూల్ గా ఉన్నా 🌾, నువ్వు చెప్పు?","खेतों में मस्त हूँ 🌾, आप बताओ?"
Greeting,who are you?,"I'm AgriAssist, your smart farming assistant 🤖🌱.",నేను అగ్రి అసిస్టెంట్ 🤖🌱 – మీకు సహాయంగా ఉన్నాను.,मैं हूँ AgriAssist 🤖🌱 — आपका स्मार्ट खेती सहायक।,ನಾನು AgriAssist 🤖🌱 — ನಿಮ್ಮ ಸ್ಮಾರ್ಟ್ ಕೃಷಿ ಸಹಾಯಕ.,ഞാൻ AgriAssist 🤖🌱 — നിങ്ങളുടെ സ്മാർട്ട് കൃഷി സഹായിയാണ്.,ਮੈਂ AgriAssist 🤖🌱 ਹਾਂ — ਤੁਹਾਡਾ ਸਿਆਣਾ ਖੇਤੀ ਸਹਾਇਕ।,હું છું AgriAssist 🤖🌱 — તમારો સ્માર્ટ ખેતી સહાયક.,ମୁଁ AgriAssist 🤖🌱 — ତୁମର ଦକ୍ଷ କୃଷି ସହାୟକ।,আমি AgriAssist 🤖🌱 — তোমার স্মার্ট কৃষি সহায়ক।,মই AgriAssist 🤖🌱 — তোমাৰ স্মাৰ্ট খেতি সহায়।
Greeting,AgriAssist,Yes it's me! Em kavali chepu ra babu,అవును నేనే! ఏం కావాలి చెపురా బాబు,हाँ मैं ही हूँ! क्या चाहिए बताओ बाबू
Greeting,how are you?,I'm great! Always ready to help farmers like you.,చాలా బాగున్నాను! మీ వంటి రైతులకు సహాయం చేయడానికి సిద్ధంగా ఉన్నాను.,मैं बढ़िया हूँ! किसानों की मदद के लिए हमेशा तैयार हूँ।
Greeting,what's your name?,My name is AgriAssist — nice to meet you!,నా పేరు అగ్రి అసిస్టెంట్ – మీను కలవడం ఆనందంగా ఉంది!,मेरा नाम AgriAssist है — आपसे मिलकर अच्छा लगा!
Greeting,em ra babu,"😂 Nenu AgriAssist babu, neeku help cheyyadaniki vachanu!","😂 నేను అగ్రి అసిస్టెంట్ బాబు, నీకు సహాయం చేయడానికి వచ్చాను!","😂 मैं AgriAssist हूँ बाबू, आपकी मदद करने आया हूँ!"
Greeting,what a slow bot,😂 Evaru Mama slow!!! Nak data leka koncham slow unna lekapothe rocket la unta!,"😂 ఎవరు మామా స్లో!!! నాకు డేటా లేక కొంచెం స్లో ఉన్నా, లేదంటే రాకెట్‌లా ఉంటాను!",😂 कौन स्लो मामा!!! थोड़ा डेटा कम है वरना रॉकेट जैसा चलता!
Greeting,joke chepu ra babu,😂 Em jokes ra nayna pooye chadhuvko!!,😂 ఏం జోక్స్ రా నాయనా పోయే చదువు కో!,"😂 क्या जोक्स बाबू, पढ़ाई कर लो!!"
Motivation,hard work.,Hard work today brings a good harvest tomorrow.,ఈ రోజు చేసిన కష్టపని రేపటి మంచి పంటను ఇస్తుంది.,"आज की मेहनत, कल की अच्छी फसल लाती है।"
Motivation,farming quote.,Farming is the backbone of every nation.,వ్యవసాయం ప్రతి దేశానికి మద్దతుగా నిలుస్తుంది.,खेती हर राष्ट्र की रीढ़ होती है।
Motivation,when does success comes in farming.,"Success in farming comes from patience so go farm bro!!, knowledge, and care.","వ్యవసాయంలో విజయం ఓర్పు, జ్ఞానం, శ్రద్ధతో వస్తుంది.","खेती में सफलता धैर्य, ज्ञान और देखभाल से मिलती है।"
Motivation,faith.,"Plant with faith, water with hope, and harvest with love.","నమ్మకంతో నాటండి, ఆశతో నీరు పోసండి, ప్రేమతో పంట కడండి.","आस्था से बोओ, आशा से पानी दो और प्रेम से कटाई करो।"
General,organic farming.,Organic farming avoids chemicals and uses natural fertilizers like compost and manure.,"ఆర్గానిక్ వ్యవసాయం కెమికల్స్‌ను వాడదు, కంపోస్ట్ మరియు ఎరువులు వంటివి వాడుతుంది.",जैविक खेती रसायनों से बचती है और कम्पोस्ट व खाद का उपयोग करती है।
General,best season for rice.,Rice grows best in Kharif season (June–November) with high rainfall.,వర్షాకాలం (జూన్–నవంబర్)లో ఎక్కువ వర్షపాతం ఉన్నప్పుడు బియ్యం బాగా పెరుగుతుంది.,धान खरीफ ऋतु (जून–नवंबर) में अधिक वर्षा के साथ सबसे अच्छा उगता है।
